Season,Player,Position,Age,Team,TeamID,Years of Service,GP,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB_total,AST_total,STL_total,BLK_total,TOV_total,PF_total,PTS_total,PER,TS%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS_total,DWS_total,WS_total,WS/48,OBPM,DBPM,BPM,VORP_total,Wins,Losses,Salary,Injured,Injury_Periods,Total_Days_Injured,Injury_Risk,Salary Cap,Luxury Tax,1st Apron,BAE,Standard /Non-Taxpayer,Taxpayer,Team Room /Under Cap,Salary_Cap_Inflated
2018-19,Anthony Tolliver,Forward,34.0,MIN,1610612750,10.0,65.0,0.0,1079.0,99.0,259.0,0.38,81.0,215.0,0.38,18.0,44.0,0.41,0.54,47.0,60.0,0.78,15.0,162.0,177.0,46.0,17.0,21.0,36.0,91.0,326.0,8.6,0.57,1.5,16.2,8.8,5.5,0.8,1.7,11.2,12.5,0.6,0.5,1.2,0.05,-1.7,-0.7,-2.4,-0.1,36.0,46.0,5750000.0,False,Not_injured,0.0,Low Risk,101869000.0,123733000.0,129817000.0,3382000.0,8641000.0,5337000.0,4449000.0,118724178.12
2018-19,Antonio Blakeney,Guard,22.0,CHI,1610612741,1.0,57.0,3.0,829.0,166.0,396.0,0.42,36.0,91.0,0.4,130.0,305.0,0.43,0.46,50.0,76.0,0.66,7.0,99.0,106.0,42.0,12.0,9.0,35.0,41.0,418.0,10.6,0.49,0.9,13.1,6.9,8.2,0.7,0.9,7.5,24.5,-0.8,0.3,-0.5,-0.03,-2.4,-2.7,-5.2,-0.7,22.0,60.0,1349383.0,False,Not_injured,0.0,Low Risk,101869000.0,123733000.0,129817000.0,3382000.0,8641000.0,5337000.0,4449000.0,118724178.12
2018-19,Aron Baynes,Center-Forward,32.0,BOS,1610612738,6.0,51.0,18.0,821.0,105.0,223.0,0.47,21.0,61.0,0.34,84.0,162.0,0.52,0.52,53.0,62.0,0.85,88.0,152.0,240.0,57.0,12.0,34.0,40.0,125.0,284.0,14.1,0.57,11.4,19.8,15.6,9.3,0.7,3.7,13.8,15.3,1.3,1.1,2.3,0.14,-1.8,0.3,-1.5,0.1,49.0,33.0,5193600.0,True,2018-10-22 - 2018-10-30; 2018-12-08 - 2018-12-10; 2018-12-21 - 2019-01-16; 2019-02-03 - 2019-03-03; 2019-03-23 - 2019-03-24; 2019-04-09 - 2019-04-13,69.0,High Risk,101869000.0,123733000.0,129817000.0,3382000.0,8641000.0,5337000.0,4449000.0,118724178.12
2018-19,Austin Rivers,Guard,26.0,WAS,1610612764,6.0,29.0,2.0,683.0,76.0,194.0,0.39,33.0,106.0,0.31,43.0,88.0,0.49,0.48,25.0,46.0,0.54,10.0,61.0,71.0,58.0,18.0,10.0,36.0,72.0,210.0,7.7,0.5,1.3,7.5,4.4,11.5,1.1,1.0,10.0,14.5,0.4,0.8,1.2,0.03,-3.3,-1.0,-4.3,-1.1,53.0,29.0,13155324.0,True,2018-12-16 - 2018-12-25; 2019-04-28 - 2019-04-30,11.0,Moderate Risk,101869000.0,123733000.0,129817000.0,3382000.0,8641000.0,5337000.0,4449000.0,118724178.12
2018-19,Avery Bradley,Guard,28.0,LAC,1610612746,8.0,49.0,49.0,1463.0,161.0,420.0,0.38,58.0,172.0,0.34,103.0,248.0,0.42,0.45,20.0,25.0,0.8,35.0,96.0,131.0,96.0,27.0,16.0,61.0,133.0,400.0,7.6,0.5,2.5,7.3,4.9,11.8,1.0,0.7,12.4,16.2,-0.6,1.0,0.3,0.01,-2.8,-0.9,-3.7,-0.8,33.0,49.0,12000000.0,True,2018-11-05 - 2018-11-19; 2019-03-22 - 2019-12-11,278.0,High Risk,101869000.0,123733000.0,129817000.0,3382000.0,8641000.0,5337000.0,4449000.0,118724178.12
2018-19,BJ Johnson,Forward,23.0,ATL,1610612737,0.0,6.0,0.0,43.0,8.0,16.0,0.5,3.0,6.0,0.5,5.0,10.0,0.5,0.59,2.0,2.0,1.0,2.0,6.0,8.0,0.0,2.0,0.0,2.0,3.0,21.0,12.8,0.61,4.2,13.2,8.6,0.0,1.9,0.0,9.6,17.4,0.0,0.0,0.1,0.07,-2.3,-2.0,-4.3,0.0,39.0,43.0,142111.0,False,Not_injured,0.0,Low Risk,101869000.0,123733000.0,129817000.0,3382000.0,8641000.0,5337000.0,4449000.0,118724178.12
2018-19,Bam Adebayo,Center-Forward,21.0,MIA,1610612748,1.0,82.0,28.0,1913.0,280.0,486.0,0.58,3.0,15.0,0.2,277.0,471.0,0.59,0.58,166.0,226.0,0.73,165.0,432.0,597.0,184.0,71.0,65.0,121.0,203.0,729.0,17.9,0.62,9.2,24.0,16.6,14.2,1.8,3.0,17.1,15.8,3.4,3.4,6.8,0.17,-0.4,2.2,1.8,1.8,39.0,43.0,2955840.0,False,Not_injured,0.0,Low Risk,101869000.0,123733000.0,129817000.0,3382000.0,8641000.0,5337000.0,4449000.0,118724178.12
2018-19,Ben Simmons,Guard-Forward,22.0,PHI,1610612755,2.0,79.0,79.0,2700.0,540.0,960.0,0.56,0.0,6.0,0.0,540.0,954.0,0.57,0.56,257.0,428.0,0.6,172.0,525.0,697.0,610.0,112.0,61.0,274.0,209.0,1337.0,20.0,0.58,6.9,20.0,13.7,34.2,2.0,1.8,19.3,22.1,4.6,3.6,8.2,0.15,2.2,1.3,3.6,3.8,51.0,31.0,6434520.0,True,2018-10-23 - 2018-10-24; 2019-03-25 - 2019-03-28; 2019-04-10 - 2019-04-12,6.0,Low Risk,101869000.0,123733000.0,129817000.0,3382000.0,8641000.0,5337000.0,4449000.0,118724178.12
2018-19,Billy Garrett,Guard-Forward,24.0,NYK,1610612752,0.0,4.0,0.0,63.0,11.0,27.0,0.41,0.0,8.0,0.0,11.0,19.0,0.58,0.41,4.0,4.0,1.0,0.0,3.0,3.0,7.0,1.0,1.0,2.0,3.0,26.0,9.8,0.45,0.0,5.1,2.5,18.0,0.8,1.3,6.5,20.9,0.0,0.0,0.0,-0.02,-3.9,-1.7,-5.5,-0.1,17.0,65.0,67370.0,False,Not_injured,0.0,Low Risk,101869000.0,123733000.0,129817000.0,3382000.0,8641000.0,5337000.0,4449000.0,118724178.12
2018-19,Blake Griffin,Forward,30.0,DET,1610612765,9.0,75.0,75.0,2622.0,619.0,1341.0,0.46,189.0,522.0,0.36,430.0,819.0,0.53,0.53,414.0,550.0,0.75,100.0,465.0,565.0,402.0,52.0,28.0,253.0,199.0,1841.0,21.0,0.58,4.0,20.1,11.8,27.1,1.0,0.9,13.8,30.2,5.1,2.9,8.0,0.15,4.9,0.2,5.1,4.7,41.0,41.0,31873932.0,True,2019-01-10 - 2019-01-12; 2019-03-18 - 2019-03-21; 2019-04-01 - 2019-04-05; 2019-04-10 - 2019-04-20,19.0,Moderate Risk,101869000.0,123733000.0,129817000.0,3382000.0,8641000.0,5337000.0,4449000.0,118724178.12
