Season,Player,Position,Age,Team,TeamID,Years of Service,GP,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Wins,Losses,Salary,Injured,Injury_Periods,Total_Days_Injured,Injury_Risk,Salary Cap,Luxury Tax,1st Apron,BAE,Standard /Non-Taxpayer,Taxpayer,Team Room /Under Cap,Salary_Cap_Inflated,2nd Apron
2018-19,Andrew Wiggins,Forward,24.00,MIN,1610612750.00,4.00,73.00,73.00,2543.00,498.00,1209.00,0.41,118.00,348.00,0.34,380.00,861.00,0.44,0.46,207.00,296.00,0.70,83.00,269.00,352.00,184.00,70.00,48.00,138.00,153.00,1321.00,12.40,0.49,3.50,11.40,7.40,10.90,1.30,1.60,9.30,24.40,-0.60,1.30,0.60,0.01,-1.20,-1.80,-3.00,-0.60,36.00,46.00,25467250.00,True,2018-10-24 - 2018-10-31; 2018-11-09 - 2018-11-12; 2019-02-11 - 2019-02-21; 2019-03-10 - 2019-03-14,24.00,High Risk,101869000.00,123733000.00,129817000.00,3382000.00,8641000.00,5337000.00,4449000.00,118724178.12,
2018-19,Anfernee Simons,Guard,20.00,POR,1610612757.00,0.00,20.00,1.00,141.00,28.00,63.00,0.44,10.00,29.00,0.34,18.00,34.00,0.53,0.52,9.00,16.00,0.56,3.00,10.00,13.00,13.00,1.00,0.00,11.00,9.00,75.00,11.10,0.54,2.30,7.40,4.90,13.70,0.30,0.00,13.60,24.30,0.00,0.00,0.10,0.02,-1.50,-3.70,-5.30,-0.10,53.00,29.00,1837800.00,False,,0.00,Low Risk,101869000.00,123733000.00,129817000.00,3382000.00,8641000.00,5337000.00,4449000.00,118724178.12,
2018-19,Ante Zizic,Center,22.00,CLE,1610612739.00,2.00,59.00,25.00,1082.00,183.00,331.00,0.55,0.00,0.00,,183.00,331.00,0.55,0.55,93.00,132.00,0.70,108.00,212.00,320.00,53.00,13.00,22.00,61.00,113.00,459.00,16.20,0.59,10.60,22.80,16.40,7.70,0.60,1.80,13.60,18.20,1.70,0.30,2.00,0.09,-1.10,-2.10,-3.20,-0.30,19.00,63.00,1952760.00,True,2018-12-05 - 2018-12-07; 2019-01-02 - 2019-01-08; 2019-02-11 - 2019-02-13; 2019-03-03 - 2019-03-08,15.00,Moderate Risk,101869000.00,123733000.00,129817000.00,3382000.00,8641000.00,5337000.00,4449000.00,118724178.12,
2018-19,Anthony Davis,Forward-Center,26.00,NOP,1610612740.00,6.00,56.00,56.00,1850.00,530.00,1026.00,0.52,48.00,145.00,0.33,482.00,881.00,0.55,0.54,344.00,433.00,0.79,174.00,498.00,672.00,218.00,88.00,135.00,112.00,132.00,1452.00,30.30,0.60,9.90,27.50,18.80,19.00,2.20,6.00,8.40,29.50,6.40,3.10,9.50,0.25,7.10,2.30,9.40,5.30,33.00,49.00,25434263.00,True,2018-10-27 - 2018-10-29; 2019-01-21 - 2019-02-06; 2019-02-23 - 2019-02-25; 2019-03-02 - 2019-03-04,22.00,High Risk,101869000.00,123733000.00,129817000.00,3382000.00,8641000.00,5337000.00,4449000.00,118724178.12,
2018-19,Anthony Tolliver,Forward,34.00,MIN,1610612750.00,10.00,65.00,0.00,1079.00,99.00,259.00,0.38,81.00,215.00,0.38,18.00,44.00,0.41,0.54,47.00,60.00,0.78,15.00,162.00,177.00,46.00,17.00,21.00,36.00,91.00,326.00,8.60,0.57,1.50,16.20,8.80,5.50,0.80,1.70,11.20,12.50,0.60,0.50,1.20,0.05,-1.70,-0.70,-2.40,-0.10,36.00,46.00,5750000.00,False,,0.00,Low Risk,101869000.00,123733000.00,129817000.00,3382000.00,8641000.00,5337000.00,4449000.00,118724178.12,
2018-19,Antonio Blakeney,Guard,22.00,CHI,1610612741.00,1.00,57.00,3.00,829.00,166.00,396.00,0.42,36.00,91.00,0.40,130.00,305.00,0.43,0.46,50.00,76.00,0.66,7.00,99.00,106.00,42.00,12.00,9.00,35.00,41.00,418.00,10.60,0.49,0.90,13.10,6.90,8.20,0.70,0.90,7.50,24.50,-0.80,0.30,-0.50,-0.03,-2.40,-2.70,-5.20,-0.70,22.00,60.00,1349383.00,False,,0.00,Low Risk,101869000.00,123733000.00,129817000.00,3382000.00,8641000.00,5337000.00,4449000.00,118724178.12,
2018-19,Aron Baynes,Center-Forward,32.00,BOS,1610612738.00,6.00,51.00,18.00,821.00,105.00,223.00,0.47,21.00,61.00,0.34,84.00,162.00,0.52,0.52,53.00,62.00,0.85,88.00,152.00,240.00,57.00,12.00,34.00,40.00,125.00,284.00,14.10,0.57,11.40,19.80,15.60,9.30,0.70,3.70,13.80,15.30,1.30,1.10,2.30,0.14,-1.80,0.30,-1.50,0.10,49.00,33.00,5193600.00,True,2018-10-22 - 2018-10-30; 2018-12-08 - 2018-12-10; 2018-12-21 - 2019-01-16; 2019-02-03 - 2019-03-03; 2019-03-23 - 2019-03-24; 2019-04-09 - 2019-04-13,69.00,High Risk,101869000.00,123733000.00,129817000.00,3382000.00,8641000.00,5337000.00,4449000.00,118724178.12,
2018-19,Austin Rivers,Guard,26.00,WAS,1610612745.00,6.00,29.00,2.00,683.00,76.00,194.00,0.39,33.00,106.00,0.31,43.00,88.00,0.49,0.48,25.00,46.00,0.54,10.00,61.00,71.00,58.00,18.00,10.00,36.00,72.00,210.00,7.70,0.50,1.30,7.50,4.40,11.50,1.10,1.00,10.00,14.50,0.40,0.80,1.20,0.03,-3.30,-1.00,-4.30,-1.10,53.00,29.00,13155324.00,True,2018-12-16 - 2018-12-25; 2019-04-28 - 2019-04-30,11.00,Moderate Risk,101869000.00,123733000.00,129817000.00,3382000.00,8641000.00,5337000.00,4449000.00,118724178.12,
2018-19,Avery Bradley,Guard,28.00,LAC,1610612763.00,8.00,49.00,49.00,1463.00,161.00,420.00,0.38,58.00,172.00,0.34,103.00,248.00,0.42,0.45,20.00,25.00,0.80,35.00,96.00,131.00,96.00,27.00,16.00,61.00,133.00,400.00,7.60,0.50,2.50,7.30,4.90,11.80,1.00,0.70,12.40,16.20,-0.60,1.00,0.30,0.01,-2.80,-0.90,-3.70,-0.80,33.00,49.00,12000000.00,True,2018-11-05 - 2018-11-19; 2019-03-22 - 2019-12-11,278.00,High Risk,101869000.00,123733000.00,129817000.00,3382000.00,8641000.00,5337000.00,4449000.00,118724178.12,
2018-19,BJ Johnson,Forward,23.00,ATL,1610612758.00,0.00,6.00,0.00,43.00,8.00,16.00,0.50,3.00,6.00,0.50,5.00,10.00,0.50,0.59,2.00,2.00,1.00,2.00,6.00,8.00,0.00,2.00,0.00,2.00,3.00,21.00,12.80,0.61,4.20,13.20,8.60,0.00,1.90,0.00,9.60,17.40,0.00,0.00,0.10,0.07,-2.30,-2.00,-4.30,0.00,39.00,43.00,142111.00,False,,0.00,Low Risk,101869000.00,123733000.00,129817000.00,3382000.00,8641000.00,5337000.00,4449000.00,118724178.12,
2018-19,Bam Adebayo,Center-Forward,21.00,MIA,1610612748.00,1.00,82.00,28.00,1913.00,280.00,486.00,0.58,3.00,15.00,0.20,277.00,471.00,0.59,0.58,166.00,226.00,0.73,165.00,432.00,597.00,184.00,71.00,65.00,121.00,203.00,729.00,17.90,0.62,9.20,24.00,16.60,14.20,1.80,3.00,17.10,15.80,3.40,3.40,6.80,0.17,-0.40,2.20,1.80,1.80,39.00,43.00,2955840.00,False,,0.00,Low Risk,101869000.00,123733000.00,129817000.00,3382000.00,8641000.00,5337000.00,4449000.00,118724178.12,
2018-19,Ben McLemore,Guard,26.00,SAC,0.00,5.00,19.00,0.00,158.00,25.00,64.00,0.39,17.00,41.00,0.41,8.00,23.00,0.35,0.52,8.00,12.00,0.67,3.00,14.00,17.00,4.00,6.00,3.00,5.00,22.00,75.00,10.50,0.54,1.90,9.40,5.50,3.40,1.80,1.60,6.70,19.40,0.10,0.10,0.20,0.06,-2.10,-1.40,-3.50,-0.10,,,5460000.00,False,,0.00,Low Risk,101869000.00,123733000.00,129817000.00,3382000.00,8641000.00,5337000.00,4449000.00,118724178.12,
